Channel Id,Channel Url,Channel Title
UCIV6YGTMCxcyFLPRtNV0wow,http://www.youtube.com/channel/UCIV6YGTMCxcyFLPRtNV0wow,Kajal's Touch
UCJ24N4O0bP7LGLBDvye7oCA,http://www.youtube.com/channel/UCJ24N4O0bP7LGLBDvye7oCA,Matt D'Avella
UCJjSDX-jUChzOEyok9XYRJQ,http://www.youtube.com/channel/UCJjSDX-jUChzOEyok9XYRJQ,Jubilee
UCKZozRVHRYsYHGEyNKuhhdA,http://www.youtube.com/channel/UCKZozRVHRYsYHGEyNKuhhdA,Think School
UCKzw1M8xhzXD9TjEquvQ8Sg,http://www.youtube.com/channel/UCKzw1M8xhzXD9TjEquvQ8Sg,Kaiti Yoo
UCLXo7UDZvByw2ixzpQCufnA,http://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,Vox
UCLx-YFOk_NgXNG7uCXq8m5w,http://www.youtube.com/channel/UCLx-YFOk_NgXNG7uCXq8m5w,RITVIZ
UCMSI1Ck1mJOaxxwJ0bzrYhQ,http://www.youtube.com/channel/UCMSI1Ck1mJOaxxwJ0bzrYhQ,The Urban Fight
UCNU_lfiiWBdtULKOw6X0Dig,http://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig,Krish Naik
UCNk__kU7szonh1MY7cF2MpA,http://www.youtube.com/channel/UCNk__kU7szonh1MY7cF2MpA,DUAL MOON FILMS
UCOJ2unhVd9yfUvbj6-q0jyQ,http://www.youtube.com/channel/UCOJ2unhVd9yfUvbj6-q0jyQ,channelnotes
UCOaqv3KssAlhCTvGlBRS8ng,http://www.youtube.com/channel/UCOaqv3KssAlhCTvGlBRS8ng,Little by Little
UCPF_GAB99p5Hhg-NQ5AgAqw,http://www.youtube.com/channel/UCPF_GAB99p5Hhg-NQ5AgAqw,Stairway To Symphony
UCQ_aa1q_dpqRc5uATuslRzg,http://www.youtube.com/channel/UCQ_aa1q_dpqRc5uATuslRzg,taliajoy18
UCR4euGGs0mtP4BJ9KSB9XEQ,http://www.youtube.com/channel/UCR4euGGs0mtP4BJ9KSB9XEQ,RiverTechJess
UCR9gMSj0UUxGvgfpNhhF3Jw,http://www.youtube.com/channel/UCR9gMSj0UUxGvgfpNhhF3Jw,Amy Landino
UCRNnYXD8Elz5zwKQ2jAcbAg,http://www.youtube.com/channel/UCRNnYXD8Elz5zwKQ2jAcbAg,The Story of Stuff Project
UCRXG7t9aTz2IzPxwF1iqmiA,http://www.youtube.com/channel/UCRXG7t9aTz2IzPxwF1iqmiA,Mayank Kumar
UCRopIYn4M8h9V2hwD4JQ_Eg,http://www.youtube.com/channel/UCRopIYn4M8h9V2hwD4JQ_Eg,fandomnewbie
UCRxTCHU5RLYTV354klRihIQ,http://www.youtube.com/channel/UCRxTCHU5RLYTV354klRihIQ,DJD Editzz
UCRzYN32xtBf3Yxsx5BvJWJw,http://www.youtube.com/channel/UCRzYN32xtBf3Yxsx5BvJWJw,warikoo
UCS6ESsUIYly_-wdlJj6eVOg,http://www.youtube.com/channel/UCS6ESsUIYly_-wdlJj6eVOg,Creative Lab
UCTGlBH7oKcVxsxGqMqYopIQ,http://www.youtube.com/channel/UCTGlBH7oKcVxsxGqMqYopIQ,CHILL WITH LOFI 2.0
UCUHW94eEFW7hkUMVaZz4eDg,http://www.youtube.com/channel/UCUHW94eEFW7hkUMVaZz4eDg,minutephysics
UCUiyUeyxUa0baQoBwum_wlQ,http://www.youtube.com/channel/UCUiyUeyxUa0baQoBwum_wlQ,Hack With Us
UCUleYrMPWnu2k8sIs0c35FQ,http://www.youtube.com/channel/UCUleYrMPWnu2k8sIs0c35FQ,James Vance
UCV-s8itWCK3yeCppmSYxtVA,http://www.youtube.com/channel/UCV-s8itWCK3yeCppmSYxtVA,MeganBatoon
UCV_fnf3dZn_6IE34QIVaNLw,http://www.youtube.com/channel/UCV_fnf3dZn_6IE34QIVaNLw,Revanta SuperMileage
